Date,Site H500 DC Energy (kWh),H500 AC Energy Expected (kWh),H500 AC Energy (kWh),H500 Downtime Loss (kWh),H500 Shading Loss (kWh),H500 Soiling Loss (kWh),H500 clipping_loss,H500 clipping_loss_pct,Site H600 DC Energy (kWh),H600 AC Energy Expected (kWh),H600 AC Energy (kWh),H600 Downtime Loss (kWh),H600 Shading Loss (kWh),H600 Soiling Loss (kWh),H600 clipping_loss,H600 clipping_loss_pct,Site H700 DC Energy (kWh),H700 AC Energy Expected (kWh),H700 AC Energy (kWh),H700 Downtime Loss (kWh),H700 Shading Loss (kWh),H700 Soiling Loss (kWh),H700 clipping_loss,H700 clipping_loss_pct,Site H800 DC Energy (kWh),H800 AC Energy Expected (kWh),H800 AC Energy (kWh),H800 Downtime Loss (kWh),H800 Shading Loss (kWh),H800 Soiling Loss (kWh),H800 clipping_loss,H800 clipping_loss_pct,SB DC Energy (kWh),SB AC Energy Expected (kWh),SB AC Energy (kWh),SB Downtime Loss (kWh),SB Shading Loss (kWh),SB Soiling Loss (kWh),SB clipping_loss,SB clipping_loss_pct,STAAC DC Energy (kWh),STAAC AC Energy Expected (kWh),STAAC AC Energy (kWh),STAAC Downtime Loss (kWh),STAAC Shading Loss (kWh),STAAC Soiling Loss (kWh),STAAC clipping_loss,STAAC clipping_loss_pct
05/07/19,2023.33975,2050.164205,1986.363583,30.28257832,0,45.65987024,0,0,1716.221,1700.455915,1682.718333,0,0.28361292,28.85513094,0,0,2435.07075,2419.110486,2395.029583,0,0,45.74516955,0,0,1282.590583,1282.228127,1257.857667,0,0.135023735,23.69974317,0,0,987.4189167,969.1796501,968.2251667,0,0.133018463,23.89846208,0,0,1623.41725,1618.768005,1590.726667,0,0.223746135,35.02279143,0,0
05/08/19,859.2083333,875.8738706,841.5308333,11.37374145,0,0.131301739,0,0,723.431,729.292164,707.1885833,0,0,0.516760631,0,0,1030.75875,1035.294665,1010.86625,0,0,0,0,0,543.3946667,542.824301,531.2288333,0,0,0.085481032,0,0,416.7280833,413.4172001,407.6175833,0,0,0.510477432,0,0,684.005,681.8433338,668.5908333,0,0,0.112993162,0,0
05/09/19,1890.53925,1995.613642,1856.158833,28.68315955,0,28.63328484,0,0,1582.434583,1605.480078,1551.2365,0,0,22.5645272,0,0,2268.638167,2267.575689,2231.911333,0,0,36.89598353,0,0,1195.966333,1218.278126,1172.938833,0,0,20.64034646,0,0,930.2964167,949.4905142,912.0070833,0.024719468,0,7.394848232,0,0,1525.38325,1546.527198,1494.554167,0,0.843643917,37.8803265,0,0
05/10/19,1997.0135,2017.227146,1960.104083,29.00974683,0,20.19151766,0,0,1673.559167,1672.547002,1641.601667,0,3.815376407,14.87580915,0,0,2378.219917,2376.315189,2339.723833,0,0,19.31041376,0,0,1256.898,1261.248738,1232.599,0,1.108598929,9.144250325,0,0,962.0468333,937.0652117,943.5225833,0,0,4.006386188,0,0,1579.873,1556.558587,1548.04625,0,0.79396915,27.48137513,0,0
05/11/19,1001.946917,1007.38247,982.7129167,14.20694952,0,9.449448803,0,0,852.9268333,847.1256168,834.68825,0,3.041193939,5.323764033,0,0,1209.554083,1198.173284,1187.993917,0,0,5.275290637,0,0,636.86025,626.5207472,623.414,0,3.475444641,3.385273316,0,0,497.193,489.1398639,486.9659167,0,0.159388906,1.364331869,0,0,812.9716667,805.3908832,795.7615,0,6.958891694,9.3913135,0,0
05/12/19,1130.58675,1164.187227,1109.314917,16.34883882,0,2.145890887,0,0,971.0371667,965.7170512,951.0139167,0,1.047367958,3.45561957,0,0,1380.6545,1364.541785,1357.334583,0,0,0.602170738,0,0,720.0281667,727.108914,705.1080833,0,0,4.211950371,0,0,575.2875,569.4160123,563.7920833,0,0,0.293666049,0,0,930.08575,898.3943319,910.9095833,0,0.466757676,20.53935186,0,0
05/13/19,1017.382,1021.988448,995.4361667,14.58354883,9.935805605,6.53775175,0,0,864.7369167,861.9469162,843.96875,0,1.350099778,9.149341837,0,0,1225.621333,1200.741683,1201.055,0,1.190712261,10.25345417,0,0,641.3863333,628.507219,626.5618333,0,2.209975269,7.517449504,0,0,494.6259167,501.436854,483.39275,0,0,1.180333394,0,0,810.4666667,802.5987184,791.22925,0,0,23.02462889,0,0
05/14/19,1615.298167,1637.785747,1585.628417,23.39074255,0,13.04946202,0,0,1364.710417,1369.774909,1338.456083,5.157830368,0,9.733078276,0,0,1957.149333,1910.327353,1925.332,0,0,11.11503306,0,0,1017.581583,1025.874827,997.8793333,0,0.073844961,7.649953019,0,0,781.5265833,755.3130731,766.3548333,0,0,2.470324479,0,0,1280.5565,1264.519149,1254.630167,0,1.648165521,29.87869042,0,0
05/15/19,769.25225,1577.764411,1539.5925,22.16256854,0,24.58946002,0,0,647.1211667,1316.385089,1302.260333,0,0.228537725,22.07608823,0,0,922.8194167,1884.018289,1855.752,0,0,20.73232635,0,0,484.1769167,973.6937682,968.6743333,0,0.34030836,14.97457552,0,0,365.309,755.6815723,746.9250833,0,0,20.23610531,0,0,608.6914167,1261.895222,1233.028,0,1.66725764,35.97146206,0,0
05/16/19,1561.556333,1599.038776,1532.596333,22.94552241,0,8.037661384,0,0,1272.859833,1329.305852,1247.976333,0,1.346286945,6.372264354,0,0,1874.703083,1882.476142,1843.078833,0,0,6.935517227,0,0,988.55425,990.0893944,968.6348333,0,0.177536207,7.244125429,0,0,763.0693333,765.0953948,747.8040833,0,0,0.828834036,0,0,1251.059,1258.792284,1225.025667,0,1.496827145,26.95896502,0,0
